,obj_id,alpha,delta,label,image_name,u,g,r,i,z
0,1237663789030965545,121.753821819949,56.4407585296126,GALAXY,1237663789030965545_121.753821819949_56.4407585296126_GALAXY_0.08720533.jpg,19.26313,17.88021,17.22519,16.83558,16.61061
1,1237663458851292216,319.619460181821,0.8653332488239,GALAXY,1237663458851292216_319.619460181821_0.8653332488239_GALAXY_0.5150168.jpg,25.63991,22.31966,20.48432,19.46057,18.92257
2,1237651753994879109,144.659977862476,1.93026698579402,STAR,1237651753994879109_144.659977862476_1.93026698579402_STAR_1.082533.jpg,19.63287,19.18655,18.72169,18.60867,18.57353
3,1237663478721872258,333.306419524868,-0.257726561058556,GALAXY,1237663478721872258_333.306419524868_-0.257726561058556_GALAXY_0.09072599.jpg,19.79645,18.17392,17.33331,16.88921,16.59179
4,1237659154218877335,248.429176980518,33.0595724724663,STAR,1237659154218877335_248.429176980518_33.0595724724663_STAR_0.5973316.jpg,21.83316,21.02861,20.11611,19.54847,19.23162
5,1237667431716422364,169.759430275798,27.7510861476167,STAR,1237667431716422364_169.759430275798_27.7510861476167_STAR_-0.0001502556.jpg,24.20927,21.50723,21.00754,21.00905,21.01251
6,1237659131669119205,207.323865982613,52.2515594040581,STAR,1237659131669119205_207.323865982613_52.2515594040581_STAR_1.684362.jpg,20.26002,20.2517,20.32686,20.10193,20.29207
7,1237680311229875201,1.79451629654557,32.5846714870918,STAR,1237680311229875201_1.79451629654557_32.5846714870918_STAR_-0.0002186752.jpg,24.56543,23.03734,21.72902,20.45586,19.5068
8,1237663458852078324,321.522214487979,0.948010537100419,GALAXY,1237663458852078324_321.522214487979_0.948010537100419_GALAXY_0.1358381.jpg,20.02116,18.07859,16.96885,16.5,16.11823
9,1237667538011816123,160.776451081197,23.0534298038076,STAR,1237667538011816123_160.776451081197_23.0534298038076_STAR_-8.691949E-05.jpg,20.43288,19.45664,19.07316,18.94541,18.95437
10,1237662336796459903,249.077266525959,25.7236010586054,GALAXY,1237662336796459903_249.077266525959_25.7236010586054_GALAXY_0.5587323.jpg,26.12318,21.79576,20.1,18.92815,18.21363
11,1237662341091164681,250.053486533728,21.5603119813124,GALAXY,1237662341091164681_250.053486533728_21.5603119813124_GALAXY_0.1509936.jpg,19.7422,17.35823,16.15637,15.66806,15.29485
12,1237680246813295218,357.392047713835,20.0644847559537,GALAXY,1237680246813295218_357.392047713835_20.0644847559537_GALAXY_0.5410749.jpg,24.82368,22.76061,21.34516,20.16591,19.56667
13,1237680272036462700,333.538661815571,19.3557388670314,STAR,1237680272036462700_333.538661815571_19.3557388670314_STAR_-0.0002573141.jpg,23.1196,21.59822,21.49428,21.69185,22.97636
14,1237680275257032982,352.734968669149,25.9002909628079,STAR,1237680275257032982_352.734968669149_25.9002909628079_STAR_1.466068.jpg,21.21014,20.93652,20.71918,20.37263,20.27264
15,1237666338651505386,15.2653566293203,-0.422742990452027,GALAXY,1237666338651505386_15.2653566293203_-0.422742990452027_GALAXY_0.7641888.jpg,22.68567,22.35053,21.6164,21.21786,20.99513
16,1237662341084086510,235.146562092421,30.8600443711618,GALAXY,1237662341084086510_235.146562092421_30.8600443711618_GALAXY_0.1751483.jpg,20.899,18.91558,17.67874,17.17493,16.82735
17,1237657401336267358,118.937420497401,30.0301207989717,GALAXY,1237657401336267358_118.937420497401_30.0301207989717_GALAXY_0.351599.jpg,25.97065,20.90676,19.529,18.78115,18.36568
18,1237664289934147736,198.406526195402,13.9998567032391,GALAXY,1237664289934147736_198.406526195402_13.9998567032391_GALAXY_0.1135885.jpg,20.05189,18.28323,17.31628,16.91992,16.58878
19,1237663789030244579,120.189107210898,54.9007036373324,GALAXY,1237663789030244579_120.189107210898_54.9007036373324_GALAXY_0.03670049.jpg,17.97511,16.31738,15.51531,15.07005,14.73904
20,1237653651847577813,29.6767380499432,13.6681095667956,STAR,1237653651847577813_29.6767380499432_13.6681095667956_STAR_1.075647.jpg,20.8204,20.50071,20.29309,20.33556,20.6769
21,1237678597535170697,317.877939172163,2.05828785193107,STAR,1237678597535170697_317.877939172163_2.05828785193107_STAR_-0.0001657008.jpg,25.38913,20.96047,20.54391,20.12686,20.33219
22,1237678598091374688,2.09476904245776,3.22752871688089,STAR,1237678598091374688_2.09476904245776_3.22752871688089_STAR_0.0004461399.jpg,18.97488,18.08323,17.80844,17.7118,17.69592
23,1237680275797967702,3.12794488721198,26.7932952355045,GALAXY,1237680275797967702_3.12794488721198_26.7932952355045_GALAXY_0.879488.jpg,21.99818,27.15748,21.39167,19.98409,18.74382
24,1237678598072631389,319.136268751659,2.48739198907592,STAR,1237678598072631389_319.136268751659_2.48739198907592_STAR_0.9281057.jpg,22.7293,22.35363,22.13175,21.88727,22.79063
25,1237662336788463745,232.072711455962,36.8061181495526,GALAXY,1237662336788463745_232.072711455962_36.8061181495526_GALAXY_0.2003912.jpg,20.87825,18.67451,17.42077,16.92174,16.57434
26,1237672816510632585,344.811531141459,26.855360450233,STAR,1237672816510632585_344.811531141459_26.855360450233_STAR_-0.0007388081.jpg,22.1474,21.0438,20.56483,20.30026,20.08586
27,1237667210509156702,134.920327800589,19.4702766845881,STAR,1237667210509156702_134.920327800589_19.4702766845881_STAR_0.0003857354.jpg,23.07467,20.90943,19.63477,18.99764,18.62069
28,1237663784203321583,13.6203070417995,0.15135582066338,GALAXY,1237663784203321583_13.6203070417995_0.15135582066338_GALAXY_0.1453254.jpg,20.49634,19.31706,18.58822,18.19325,17.88256
29,1237653652376060337,10.0025694748201,15.2960992044381,GALAXY,1237653652376060337_10.0025694748201_15.2960992044381_GALAXY_0.4127568.jpg,24.40561,21.55013,19.66155,18.91728,18.31083
30,1237680246805299943,338.051712741822,18.3749226856116,GALAXY,1237680246805299943_338.051712741822_18.3749226856116_GALAXY_0.311429.jpg,23.40568,21.08658,19.33749,18.61469,18.1269
31,1237673705040118137,111.731841925524,40.2340734112981,GALAXY,1237673705040118137_111.731841925524_40.2340734112981_GALAXY_0.08869503.jpg,19.7495,18.36312,17.75174,17.37406,17.1735
32,1237666210854666501,267.872733537679,25.2638809622857,STAR,1237666210854666501_267.872733537679_25.2638809622857_STAR_-0.0004970237.jpg,18.04481,17.11568,16.75286,16.61002,16.56301
33,1237660961324401032,128.289154646734,28.2332170134286,GALAXY,1237660961324401032_128.289154646734_28.2332170134286_GALAXY_0.6910093.jpg,23.92097,22.34403,21.93937,21.18496,21.42531
34,1237662500006526990,240.433180016488,36.6641121829054,STAR,1237662500006526990_240.433180016488_36.6641121829054_STAR_-0.0001743735.jpg,18.5318,17.49413,17.09538,16.96299,16.94588
35,1237668332026986542,217.940001459467,14.6083781640661,STAR,1237668332026986542_217.940001459467_14.6083781640661_STAR_1.80268.jpg,19.13548,18.55482,17.95603,17.68272,17.63717
36,1237680272035087406,330.306901637968,18.6224156379222,GALAXY,1237680272035087406_330.306901637968_18.6224156379222_GALAXY_0.8899669.jpg,22.52248,21.89821,20.83629,19.93434,19.46174
37,1237678860092047629,23.0333498737002,12.611231583264,STAR,1237678860092047629_23.0333498737002_12.611231583264_STAR_2.566459.jpg,20.86507,20.4105,20.13651,20.06677,19.99699
38,1237653651840434319,12.9222033231677,14.6703335417928,STAR,1237653651840434319_12.9222033231677_14.6703335417928_STAR_-0.0007223981.jpg,24.32672,22.01233,21.55617,21.48787,21.73682
39,1237680246812836275,356.161905524539,20.1829008045194,GALAXY,1237680246812836275_356.161905524539_20.1829008045194_GALAXY_0.31507.jpg,26.13809,21.43455,19.57495,18.81913,18.26612
40,1237680272041115880,344.719228886601,21.1603350103515,GALAXY,1237680272041115880_344.719228886601_21.1603350103515_GALAXY_0.1731331.jpg,20.00209,18.35984,17.1223,16.63883,16.25582
41,1237680272038691739,338.792718554591,20.3337181430082,GALAXY,1237680272038691739_338.792718554591_20.3337181430082_GALAXY_0.6592138.jpg,25.72364,23.03721,21.04014,19.72521,18.91054
42,1237661361840129017,218.387632556341,42.5090206627714,STAR,1237661361840129017_218.387632556341_42.5090206627714_STAR_-0.001080709.jpg,24.83036,21.90008,21.51232,21.51287,21.36742
43,1237665442061287736,216.845347438029,26.215880907651,GALAXY,1237665442061287736_216.845347438029_26.215880907651_GALAXY_0.738678.jpg,22.33277,21.55671,20.70348,19.72131,19.38048
44,1237666338651111708,14.2594465620327,-0.526862521874934,GALAXY,1237666338651111708_14.2594465620327_-0.526862521874934_GALAXY_0.2684679.jpg,19.51479,18.60824,17.84822,17.54648,17.22618
45,1237680122246398477,6.95925173762619,-7.19227271409347,GALAXY,1237680122246398477_6.95925173762619_-7.19227271409347_GALAXY_0.5079328.jpg,22.55831,22.23936,20.41464,19.46397,19.06586
